key,english_source,current_tamil_translation,status,reviewer_notes
payslip.pf_claim_4,Online claims usually reach your bank in about 3–5 working days.,ஆன்லைன் கோரிக்கைகள் பொதுவாக 3–5 வேலை நாட்களில் உங்கள் வங்கியை அடையும்.,translated,
payslip.pf_portal_label,Open the EPFO website,EPFO இணையதளத்தைத் திற,translated,
payslip.esi_claim_title,Using your ESI cover,உங்கள் ESI பாதுகாப்பைப் பயன்படுத்துதல்,translated,
payslip.esi_claim_1,You get an ESI Pehchan card — your health ID. It covers you and your family.,உங்களுக்கு ஒரு ESI பெஹ்சான் அட்டை கிடைக்கும் — உங்கள் சுகாதார அடையாள அட்டை. இது உங்களையும் உங்கள் குடும்பத்தையும் உள்ளடக்கும்.,translated,
payslip.esi_claim_2,"For treatment, go to any ESI hospital or dispensary and show your Pehchan card with an ID. Care is free.","சிகிச்சைக்கு, ஏதேனும் ESI மருத்துவமனை அல்லது மருந்தகத்துக்குச் சென்று, உங்கள் பெஹ்சான் அட்டையையும் ஓர் ID-யையும் காட்டுங்கள். சிகிச்சை இலவசம்.",translated,
payslip.esi_claim_3,"If a doctor signs you off sick, you can claim sickness benefit — about 70% of your wage — through your employer’s ESI office.","ஒரு மருத்துவர் உங்களை நோய்வாய்ப்பட்டதாக சான்றளித்தால், உங்கள் முதலாளியின் ESI அலுவலகத்தின் மூலம் நோய் நலன் — சம்பளத்தில் சுமார் 70% — கோரலாம்.",translated,
payslip.esi_portal_label,Open the ESIC website,ESIC இணையதளத்தைத் திற,translated,
payslip.claim_note,Government portals and steps can change — these are the official sites.,அரசு இணையதளங்களும் நடைமுறைகளும் மாறலாம் — இவை அதிகாரப்பூர்வ தளங்கள்.,translated,
app_lock.lock_screen_message,"Unlock with your fingerprint, face, or screen lock to continue.","தொடர உங்கள் கைரேகை, முகம் அல்லது திரைப் பூட்டால் திறக்கவும்.",translated,
app_lock.unlock_button,Unlock,திற,translated,
app_lock.unlock_button_subtitle,Touch the sensor,சென்சாரைத் தொடவும்,translated,
app_lock.or,or,அல்லது,translated,
app_lock.unlocking,Unlocking…,திறக்கிறது…,translated,
app_lock.unlock_prompt,Unlock Doondo,தூண்டோவைத் திறக்கவும்,translated,
app_lock.unlock_failed,Couldn't verify. Try again.,சரிபார்க்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.,translated,
app_lock.sign_out,Sign in with a different account,வேறு கணக்கில் உள்நுழைக,translated,
app_lock.settings_section,App lock,ஆப் பூட்டு,translated,
app_lock.settings_toggle,Require unlock to open Doondo,தூண்டோவைத் திறக்க பூட்டுத் திறப்பு தேவை,translated,
app_lock.settings_toggle_desc,"Ask for your fingerprint, face, or screen lock each time you open the app.","ஆப்பைத் திறக்கும் ஒவ்வொரு முறையும் கைரேகை, முகம் அல்லது திரைப் பூட்டைக் கேளுங்கள்.",translated,
app_lock.settings_unavailable,Set up a fingerprint or screen lock on your phone to use this.,இதைப் பயன்படுத்த உங்கள் ஃபோனில் கைரேகை அல்லது திரைப் பூட்டை அமைக்கவும்.,translated,
voice_agent.title,Voice assistant,குரல் உதவியாளர்,translated,
voice_agent.back,Back,பின்,translated,
voice_agent.intro,"Hi! Tell me what work you're looking for — for example, 'cook jobs near me'.",வணக்கம்! நீங்கள் எந்த வேலையைத் தேடுகிறீர்கள் என்று சொல்லுங்கள் — உதாரணமாக 'என் அருகில் சமையல் வேலை'.,translated,
voice_agent.tap_to_speak,Tap the mic and speak,மைக்கைத் தட்டிப் பேசுங்கள்,translated,
voice_agent.listening,Listening…,கேட்கிறது…,translated,
voice_agent.thinking,One moment…,ஒரு நிமிடம்…,translated,
voice_agent.getting_location,Finding your location…,உங்கள் இருப்பிடத்தைத் தேடுகிறது…,translated,
voice_agent.location_failed,Couldn't find your location. Turn on location to search for jobs.,உங்கள் இருப்பிடம் கிடைக்கவில்லை. வேலை தேட இருப்பிடத்தை இயக்கவும்.,translated,
voice_agent.mic_unavailable,Voice input isn't available on this device. Type your request instead.,இந்தச் சாதனத்தில் குரல் உள்ளீடு கிடைக்கவில்லை. உங்கள் கோரிக்கையைத் தட்டச்சு செய்யுங்கள்.,translated,
voice_agent.type_placeholder,Type the work you want…,வேண்டிய வேலையைத் தட்டச்சு செய்யுங்கள்…,translated,
voice_agent.send,Send,அனுப்பு,translated,
voice_agent.you_label,You,நீங்கள்,translated,
voice_agent.assistant_label,Doondo,தூண்டோ,translated,
voice_agent.card_apply,Apply,விண்ணப்பி,translated,
voice_agent.card_open,View job,வேலையைப் பார்,translated,
voice_agent.card_applied,Applied,விண்ணப்பித்தாயிற்று,translated,
voice_agent.a11y_mic,Voice assistant microphone,குரல் உதவியாளர் மைக்ரோஃபோன்,translated,
voice_agent.example_search,Cook jobs near me,என் அருகில் சமையல் வேலை,translated,
voice_agent.example_apply,Apply to the first one,முதல் வேலைக்கு விண்ணப்பி,translated,
voice_agent.example_interview,When is my interview?,,MISSING — needs translation,
voice_agent.example_messages,Read my messages,,MISSING — needs translation,
voice_agent.example_help,What can I say?,நான் என்ன சொல்லலாம்?,translated,
voice_agent.reply.results_one,"I found 1 job nearby — {{job}}. Say 'apply to the first one' to apply, or ask for other work.","உங்கள் அருகில் 1 வேலை கிடைத்தது — {{job}}. விண்ணப்பிக்க 'முதல் வேலைக்கு விண்ணப்பி' என்று சொல்லுங்கள், அல்லது வேறு வேலை கேளுங்கள்.",translated,
voice_agent.reply.results_many,"I found {{count}} jobs nearby. The first is {{job}}. Say 'apply to the first one', or ask for other work.","உங்கள் அருகில் {{count}} வேலைகள் கிடைத்தன. முதல் வேலை {{job}}. 'முதல் வேலைக்கு விண்ணப்பி' என்று சொல்லுங்கள், அல்லது வேறு வேலை கேளுங்கள்.",translated,
voice_agent.reply.no_results,I couldn't find any jobs for that nearby. Try another kind of work.,அதற்கு அருகில் வேலை எதுவும் கிடைக்கவில்லை. வேறு வேலையை முயற்சிக்கவும்.,translated,
voice_agent.reply.applied,Done — you've applied to {{job}}. The employer will see your application.,முடிந்தது — {{job}} வேலைக்கு விண்ணப்பித்துவிட்டீர்கள். முதலாளி உங்கள் விண்ணப்பத்தைப் பார்ப்பார்.,translated,
voice_agent.reply.already_applied,You had already applied to {{job}}. Try another job.,நீங்கள் ஏற்கனவே {{job}} வேலைக்கு விண்ணப்பித்துவிட்டீர்கள். வேறு வேலையை முயற்சிக்கவும்.,translated,
voice_agent.reply.apply_failed,"Sorry, I couldn't send that application. Please open the job and apply from there.","மன்னிக்கவும், அந்த விண்ணப்பத்தை அனுப்ப முடியவில்லை. வேலையைத் திறந்து அங்கிருந்து விண்ணப்பிக்கவும்.",translated,
voice_agent.reply.need_search_first,"Search for a job first, then say 'apply to the first one'.","முதலில் ஒரு வேலையைத் தேடுங்கள், பிறகு 'முதல் வேலைக்கு விண்ணப்பி' என்று சொல்லுங்கள்.",translated,
voice_agent.reply.help,"You can say things like 'driver jobs near me', 'apply to the first one', 'when is my interview', or 'read my messages'.","நீங்கள் இப்படிச் சொல்லலாம் — 'என் அருகில் டிரைவர் வேலை', அல்லது 'முதல் வேலைக்கு விண்ணப்பி'. நீங்கள் எந்த வேலையைத் தேடுகிறீர்கள்?",translated,
voice_agent.reply.not_understood,"Sorry, I didn't catch that. Please say it again.","மன்னிக்கவும், புரியவில்லை. மீண்டும் சொல்லுங்கள்.",translated,
voice_agent.reply.nothing_to_repeat,There's nothing to repeat yet. Tell me what work you're looking for.,இப்போது மீண்டும் சொல்ல எதுவும் இல்லை. நீங்கள் எந்த வேலையைத் தேடுகிறீர்கள் என்று சொல்லுங்கள்.,translated,
voice_agent.reply.error,"Sorry, something went wrong. Check your connection and try again.","மன்னிக்கவும், ஏதோ தவறு நடந்தது. இணைப்பைச் சரிபார்த்து மீண்டும் முயற்சிக்கவும்.",translated,
voice_agent.reply.interview_upcoming,"You have an interview for {{job}} with {{employer}}, {{when}}.",,MISSING — needs translation,
voice_agent.reply.interview_none,You don't have any interviews scheduled right now.,,MISSING — needs translation,
voice_agent.reply.messages_one,{{sender}} said: {{body}},,MISSING — needs translation,
voice_agent.reply.messages_many,You have {{count}} recent messages. {{sender}} said: {{body}},,MISSING — needs translation,
voice_agent.reply.no_messages,You don't have any new messages from employers.,,MISSING — needs translation,
hire_share.brand,DOONDO,DOONDO,translated,
hire_share.fallback_role,New role,புதிய வேலை,translated,
hire_share.fallback_employer,Doondo employer,டூண்டோ முதலாளர்,translated,
hire_share.fallback_city,Nearby,அருகில்,translated,
hire_share.fallback_role_caption,a new role,புதிய வேலை,translated,
hire_share.fallback_employer_caption,an employer nearby,அருகிலுள்ள முதலாளர்,translated,
hire_share.employer_verified,Verified employer,சரிபார்க்கப்பட்ட முதலாளர்,translated,
hire_share.employer_on_doondo,Employer on Doondo,டூண்டோவில் முதலாளர்,translated,
hire_share.hired_by,HIRED BY,வேலை கொடுத்தவர்,translated,
hire_share.title,I got hired.,எனக்கு வேலை கிடைத்தது.,translated,
hire_share.subtitle,{{name}} just landed {{role}} with {{employer}}.,{{name}}க்கு {{employer}}ல் {{role}} வேலை கிடைத்தது.,translated,
hire_share.role,ROLE,பங்கு,translated,
hire_share.pay,PAY,சம்பளம்,translated,
hire_share.city,CITY,நகரம்,translated,
hire_share.moment,MOMENT,இந்த தருணம்,translated,
hire_share.worker,WORKER,தொழிலாளர்,translated,
hire_share.date,DATE,தேதி,translated,
hire_share.member_since,MEMBER SINCE,உறுப்பினரானது,translated,
hire_share.pay_confirmed,Pay confirmed,சம்பளம் உறுதி,translated,
hire_share.starts_label,STARTS,தொடக்கம்,translated,
hire_share.starts_today_at,"Starts today, {{time}}","இன்று தொடக்கம், {{time}}",translated,
hire_share.starts_tomorrow_at,"Starts tomorrow, {{time}}","நாளை தொடக்கம், {{time}}",translated,
hire_share.starts_on_at,"Starts {{day}}, {{time}}","{{day}} தொடக்கம், {{time}}",translated,
hire_share.starts_time_only,Starts at {{time}},{{time}}க்கு தொடக்கம்,translated,
hire_share.trust_label,TRUST,நம்பிக்கை,translated,
hire_share.verified,Verified,சரிபார்க்கப்பட்டது,translated,
hire_share.profile_label,PROFILE,சுயவிவரம்,translated,
hire_share.rating_label,RATING,மதிப்பீடு,translated,
hire_share.streak_label,STREAK,தொடர்,translated,
hire_share.streak_value,{{count}} days,{{count}} நாட்கள்,translated,
hire_share.recently,Recently,சமீபத்தில்,translated,
hire_share.celebration_title,You got hired.,உங்களுக்கு வேலை கிடைத்தது.,translated,
hire_share.celebration_title_with_role,You got hired as {{role}}.,உங்களுக்கு {{role}} வேலை கிடைத்தது.,translated,
hire_share.celebration_subtitle,"This is the moment worth remembering. Share it, save the details, and walk into the shift feeling chosen.","இது நினைவில் வைக்க வேண்டிய தருணம். இதை பகிரவும், சேமிக்கவும், அடுத்த படிக்கு நம்பிக்கையுடன் செல்லவும்.",translated,
hire_share.employer_confirmed,Employer confirmed,முதலாளர் உறுதிப்படுத்தினார்,translated,
hire_share.work_details_ready,Work details ready,வேலை விவரங்கள் தயார்,translated,
hire_share.share_title,I got hired on Doondo,எனக்கு Doondoவில் வேலை கிடைத்தது,translated,
hire_share.share_variant_title,Choose a share format,பகிரும் வடிவத்தைத் தேர்ந்தெடுக்கவும்,translated,
hire_share.share_variant_body,"Use a story poster for Status, or a square poster for chat sharing.","Statusக்கு story poster-ஐ தேர்ந்தெடுக்கவும், அல்லது chat பகிர்வுக்கு square poster-ஐ தேர்ந்தெடுக்கவும்.",translated,
hire_share.share_variant_story,Share to Status,Status-ல் பகிரவும்,translated,
hire_share.share_variant_square,Share in Chat,Chat-ல் பகிரவும்,translated,
hire_share.save_variant_title,Choose a poster size,போஸ்டர் அளவைத் தேர்ந்தெடுக்கவும்,translated,
hire_share.save_variant_body,Pick the poster size you want to save to Photos.,Photos-ல் சேமிக்க வேண்டிய போஸ்டர் அளவைத் தேர்ந்தெடுக்கவும்.,translated,
hire_share.share_tone_title,Choose a card style,கார்டு பாணியைத் தேர்ந்தெடுக்கவும்,translated,
hire_share.share_tone_body,Pick the version that fits where you're sending it.,நீங்கள் அனுப்பும் இடத்துக்கு ஏற்ற பதிப்பைத் தேர்ந்தெடுக்கவும்.,translated,
hire_share.share_tone_proud,Proud,பெருமை,translated,
hire_share.share_tone_professional,Professional,தொழில்முறை,translated,
hire_share.share_tone_family,Family-safe,குடும்பத்திற்கு,translated,
hire_share.save_to_photos,Save to Photos,Photos-ல் சேமிக்கவும்,translated,
hire_share.share_caption,I got hired on Doondo as {{role}} with {{employer}}.,எனக்கு Doondoவில் {{employer}} உடன் {{role}} வேலை கிடைத்தது.,translated,
hire_share.share_caption_with_area,I got hired on Doondo as {{role}} with {{employer}} in {{area}}.,எனக்கு Doondoவில் {{area}}யில் {{employer}} உடன் {{role}} வேலை கிடைத்தது.,translated,
hire_share.share_caption_professional,{{name}} was hired on Doondo as {{role}} with {{employer}}.,{{name}}க்கு Doondoவில் {{employer}} உடன் {{role}} வேலை கிடைத்துள்ளது.,translated,
hire_share.share_caption_professional_with_area,{{name}} was hired on Doondo as {{role}} with {{employer}} in {{area}}.,{{name}}க்கு Doondoவில் {{area}}யில் {{employer}} உடன் {{role}} வேலை கிடைத்துள்ளது.,translated,
hire_share.share_caption_family,Good news: {{name}} got hired on Doondo as {{role}} with {{employer}}.,நல்ல செய்தி: {{name}}க்கு Doondoவில் {{employer}} உடன் {{role}} வேலை கிடைத்துள்ளது.,translated,
hire_share.share_caption_family_with_area,Good news: {{name}} got hired on Doondo as {{role}} with {{employer}} in {{area}}.,நல்ல செய்தி: {{name}}க்கு Doondoவில் {{area}}யில் {{employer}} உடன் {{role}} வேலை கிடைத்துள்ளது.,translated,
hire_share.caption_copied_title,Caption copied,கேப்ஷன் நகலெடுக்கப்பட்டது,translated,
hire_share.caption_copied_body,"Your share caption is copied and ready to paste into WhatsApp, Status, or any story app.","உங்கள் கேப்ஷன் நகலெடுக்கப்பட்டது. அதை இப்போது WhatsApp, Status அல்லது எந்த story app-லிலும் ஒட்டலாம்.",translated,
hire_share.save_success_title,Poster saved,போஸ்டர் சேமிக்கப்பட்டது,translated,
hire_share.save_success_body,Your hire poster is now saved in Photos.,உங்கள் hire poster இப்போது Photos-ல் சேமிக்கப்பட்டுள்ளது.,translated,
hire_share.save_permission_title,Photos permission needed,Photos அனுமதி தேவை,translated,
hire_share.save_permission_body,Allow photo library access to save this poster to your gallery.,இந்த poster-ஐ gallery-ல் சேமிக்க photo library access-ஐ அனுமதிக்கவும்.,translated,
hire_share.save_error_title,Couldn't save poster,போஸ்டரை சேமிக்க முடியவில்லை,translated,
hire_share.save_error_body,Please try again in a moment.,சிறிது நேரத்தில் மீண்டும் முயற்சிக்கவும்.,translated,
hire_share.notify_family,Notify family,குடும்பத்துக்கு தெரிவிக்கவும்,translated,
hire_share.notify_family_empty_title,Add your Trust Circle first,முதலில் உங்கள் Trust Circle-ஐ சேர்க்கவும்,translated,
hire_share.notify_family_empty_body,Save a family member or trusted contact in Trust Circle to share this hiring moment by SMS.,இந்த வேலை கிடைத்த மகிழ்ச்சியை SMS மூலம் பகிர Trust Circle-ல் குடும்பம் அல்லது நம்பகமான தொடர்பை சேமிக்கவும்.,translated,
hire_share.notify_family_error_title,Couldn't open SMS,SMS திறக்க முடியவில்லை,translated,
hire_share.notify_family_error_body,Please try again or contact your family directly.,மீண்டும் முயற்சிக்கவும் அல்லது உங்கள் குடும்பத்தை நேரடியாக தொடர்புகொள்ளவும்.,translated,
hire_share.notify_family_name_fallback,Your family member,உங்கள் குடும்பத்தவர்,translated,
hire_share.notify_family_message,{{name}} just got hired on Doondo as {{role}} with {{employer}}.,{{name}}க்கு Doondoவில் {{employer}} உடன் {{role}} வேலை கிடைத்துள்ளது.,translated,
hire_share.notify_family_message_with_area,{{name}} just got hired on Doondo as {{role}} with {{employer}} in {{area}}.,{{name}}க்கு Doondoவில் {{area}}யில் {{employer}} உடன் {{role}} வேலை கிடைத்துள்ளது.,translated,
hire_share.tone.proud.brand,DOONDO,DOONDO,translated,
hire_share.tone.proud.eyebrow,PROUD MOMENT,பெருமை தருணம்,translated,
hire_share.tone.proud.moment_copy,"A better job, a stronger week, and one more reason to keep going.","சிறந்த வேலை, வலுவான வாரம், தொடர்ந்து முன்னேற இன்னொரு காரணம்.",translated,
hire_share.tone.professional.brand,DOONDO VERIFIED,DOONDO VERIFIED,translated,
hire_share.tone.professional.eyebrow,WORK UPDATE,வேலை அப்டேட்,translated,
hire_share.tone.professional.title,Now hired as {{role}}.,இப்போது {{role}} ஆக பணியில் சேர்ந்தார்.,translated,
hire_share.tone.professional.subtitle,{{name}} is ready to start with {{employer}}.,{{name}} இப்போது {{employer}} உடன் வேலை தொடங்கத் தயாராக உள்ளார்.,translated,
hire_share.tone.professional.moment_label,READY,தயார்,translated,
hire_share.tone.professional.moment_copy,"Verified effort, real work history, and trust signals helped secure this role.","சரிபார்க்கப்பட்ட உழைப்பு, உண்மையான வேலை வரலாறு, நம்பிக்கை சைகைகள் இந்த வாய்ப்பை கொண்டு வந்தன.",translated,
hire_share.tone.family.brand,GOOD NEWS,நல்ல செய்தி,translated,
hire_share.tone.family.eyebrow,HOME UPDATE,வீட்டு தகவல்,translated,
hire_share.tone.family.title,Good news from work.,வேலையிலிருந்து நல்ல செய்தி.,translated,
hire_share.tone.family.subtitle,{{name}} has been hired for {{role}} with {{employer}}.,{{name}}க்கு {{employer}} உடன் {{role}} வேலை கிடைத்துள்ளது.,translated,
hire_share.tone.family.moment_label,NEXT STEP,அடுத்த படி,translated,
hire_share.tone.family.moment_copy,The job is confirmed and the next work details are ready.,"வேலை உறுதியாகியுள்ளது, அடுத்த வேலை விவரங்கள் தயாராக உள்ளன.",translated,
hire_share.theme.kitchen.eyebrow,KITCHEN WIN,சமையலறை வெற்றி,translated,
hire_share.theme.kitchen.moment,"From prep to service, the work spoke for itself and the next shift just got brighter.","தயாரிப்பில் இருந்து பரிமாறும் வரை, உங்கள் வேலைதான் பேசிவிட்டது; அடுத்த ஷிப்ட் இன்னும் ஒளிவிட்டது.",translated,
hire_share.theme.driver.eyebrow,ON THE MOVE,பாதையில் முன்னே,translated,
hire_share.theme.driver.moment,"A new route, steadier earnings, and a stronger road ahead starting now.","புதிய பாதை, நிலையான வருமானம், இன்னும் வலுவான முன்னேற்றம் இப்போது ஆரம்பமாகிறது.",translated,
hire_share.theme.trade.eyebrow,TRADE POWER,தொழில் சக்தி,translated,
hire_share.theme.trade.moment,"Hands-on skill turned into real momentum, with better work and better trust unlocked.","கைக்கூலி திறமை இப்போது உண்மையான முன்னேற்றமாக மாறியது, நல்ல வேலைவும் அதிக நம்பிக்கையும் கூடின.",translated,
hire_share.theme.craft.eyebrow,CRAFT SHINES,கலை பிரகாசம்,translated,
hire_share.theme.craft.moment,"Creative work just turned into a paid step up, with your style doing the talking.",உங்கள் படைப்பாற்றல் வேலை இப்போது சம்பளம் தரும் அடுத்த படியாக மாறியது; உங்கள் ஸ்டைல்தான் பேசிவிட்டது.,translated,
hire_share.theme.default.eyebrow,HIRED,வேலை கிடைத்தது,translated,
hire_share.theme.default.moment,"A better job, a stronger week, and one more reason to keep going.","சிறந்த வேலை, வலுவான வாரம், தொடர்ந்து முன்னேற இன்னொரு காரணம்.",translated,
women.back,Back,பின்,translated,
women.hub_title,Doondo for Women,பெண்களுக்கான தூண்டோ,translated,
women.intro_title,A safer way to find work,வேலை தேட பாதுகாப்பான வழி,translated,
women.intro_body,"Doondo for Women helps you find workplaces that have thought about your safety — separate facilities, day shifts, safe transport and more.","பெண்களுக்கான தூண்டோ, உங்கள் பாதுகாப்பை கருத்தில் கொண்ட பணியிடங்களைக் கண்டறிய உதவுகிறது — தனி வசதிகள், பகல் ஷிஃப்ட், பாதுகாப்பான பயணம் மற்றும் பல.",translated,
women.mode_title,Women's Mode,பெண்கள் பயன்முறை,translated,
women.mode_desc,Show only women-safe jobs across the app. You can turn this off any time.,ஆப் முழுவதும் பெண்களுக்குப் பாதுகாப்பான வேலைகளை மட்டும் காட்டு. எப்போது வேண்டுமானாலும் இதை அணைக்கலாம்.,translated,
women.safe_jobs_title,Women-safe jobs near you,உங்கள் அருகில் பெண்-பாதுகாப்பு வேலைகள்,translated,
women.location_needed,Turn on location to see women-safe jobs near you.,அருகிலுள்ள பெண்-பாதுகாப்பு வேலைகளைப் பார்க்க இருப்பிடத்தை இயக்கவும்.,translated,
women.safe_jobs_empty,No women-safe jobs nearby yet. Check back soon.,அருகில் இன்னும் பெண்-பாதுகாப்பு வேலைகள் இல்லை. சிறிது நேரத்தில் பாருங்கள்.,translated,
women.guidance_title,Staying safe at work,வேலையில் பாதுகாப்பாக இருத்தல்,translated,
women.tools_title,Safety tools,பாதுகாப்பு கருவிகள்,translated,
women.disclaimer,"These women-safety signals are declared by employers, not verified by Doondo. Trust your judgement.","இந்தப் பெண்-பாதுகாப்பு குறிப்புகள் முதலாளிகளால் அறிவிக்கப்பட்டவை, தூண்டோவால் சரிபார்க்கப்பட்டவை அல்ல. உங்கள் பகுத்தறிவை நம்புங்கள்.",translated,
women.badge_label,Women-safe,பெண்-பாதுகாப்பு,translated,
women.panel_title,For women workers,பெண் தொழிலாளர்களுக்கு,translated,
women.post_section,Women at work,வேலையில் பெண்கள்,translated,
women.post_hint,Tell women workers what your workplace offers. Each is optional — only tick what is true.,உங்கள் பணியிடம் என்ன வழங்குகிறது என்று பெண் தொழிலாளர்களிடம் சொல்லுங்கள். ஒவ்வொன்றும் விருப்பத்தேர்வு — உண்மையானதை மட்டும் தேர்வு செய்யுங்கள்.,translated,
women.menu_label,Doondo for Women,பெண்களுக்கான தூண்டோ,translated,
women.menu_subtitle,"Women-safe jobs, safety tools and guidance","பெண்-பாதுகாப்பு வேலைகள், பாதுகாப்பு கருவிகள், வழிகாட்டுதல்",translated,
women.tool_sos_label,Emergency SOS,அவசர SOS,translated,
women.tool_sos_desc,Alert your Trust Circle and nearby helpers fast,உங்கள் நம்பிக்கை வட்டத்தையும் அருகிலுள்ள உதவியாளர்களையும் விரைவாக எச்சரிக்கவும்,translated,
women.tool_trust_circle_label,Trust Circle,நம்பிக்கை வட்டம்,translated,
women.tool_trust_circle_desc,Pick the people who get your SOS alert,உங்கள் SOS எச்சரிக்கையைப் பெறுபவர்களைத் தேர்வு செய்யுங்கள்,translated,
women.signal.separateFacilities,"Separate, clean toilets and rest space for women","பெண்களுக்குத் தனி, சுத்தமான கழிப்பறை மற்றும் ஓய்வு இடம்",translated,
women.signal.womenOnTeam,Women already work in this role,இந்த வேலையில் ஏற்கனவே பெண்கள் பணிபுரிகிறார்கள்,translated,
women.signal.dayShiftOnly,Day shift only — no night work,பகல் ஷிஃப்ட் மட்டும் — இரவு வேலை இல்லை,translated,
women.signal.safeTransport,Transport provided or a safe commute,போக்குவரத்து வழங்கப்படுகிறது அல்லது பாதுகாப்பான பயணம்,translated,
women.signal.harassmentPolicy,Has a harassment-redressal process,துன்புறுத்தல் புகார் தீர்வு நடைமுறை உள்ளது,translated,
women.tip.know_rights_title,Know your rights,உங்கள் உரிமைகளை அறியுங்கள்,translated,
women.tip.know_rights_body,"Equal pay, a safe workplace and a harassment committee are your legal right. Asking about them is normal.","சம ஊதியம், பாதுகாப்பான பணியிடம், துன்புறுத்தல் குழு — இவை உங்கள் சட்ட உரிமை. இவற்றைப் பற்றிக் கேட்பது இயல்பானது.",translated,
women.tip.trusted_contact_title,Tell someone your plan,உங்கள் திட்டத்தை யாரிடமாவது சொல்லுங்கள்,translated,
women.tip.trusted_contact_body,Share where you're working and your timings with a family member or friend you trust.,"நீங்கள் எங்கே வேலை செய்கிறீர்கள், உங்கள் நேரம் என்ன என்பதை நம்பகமான குடும்ப உறுப்பினர் அல்லது நண்பரிடம் பகிருங்கள்.",translated,
women.tip.safe_commute_title,Plan a safe commute,பாதுகாப்பான பயணத்தைத் திட்டமிடுங்கள்,translated,
women.tip.safe_commute_body,Prefer well-lit routes and busy hours. Note the workplace's address before your first day.,நன்கு வெளிச்சமுள்ள வழிகளையும் கூட்ட நேரங்களையும் தேர்வு செய்யுங்கள். முதல் நாளுக்கு முன் பணியிட முகவரியைக் குறித்துக் கொள்ளுங்கள்.,translated,
women.tip.trust_instincts_title,Trust your instincts,உங்கள் உள்ளுணர்வை நம்புங்கள்,translated,
women.tip.trust_instincts_body,"If a workplace feels unsafe, you can leave. Use SOS and your Trust Circle if you ever need help.","ஒரு பணியிடம் பாதுகாப்பற்றதாகத் தோன்றினால், நீங்கள் வெளியேறலாம். உதவி தேவைப்பட்டால் SOS மற்றும் உங்கள் நம்பிக்கை வட்டத்தைப் பயன்படுத்துங்கள்.",translated,
reels.back,Back,பின்,translated,
reels.contact_cta,Contact,,MISSING — needs translation,
reels.record_title,My intro reel,என் அறிமுக ரீல்,translated,
reels.intro_title,Record a 30-second intro,30 வினாடி அறிமுகத்தைப் பதிவு செய்யுங்கள்,translated,
reels.intro_body,"A short video lets employers see the real you — far more than a profile can. Speak naturally, like you would in person.","ஒரு குறுகிய வீடியோ, சுயவிவரத்தை விட உண்மையான உங்களை முதலாளிகளுக்குக் காட்டுகிறது. நேரில் பேசுவது போல இயல்பாகப் பேசுங்கள்.",translated,
reels.tip_1,"Say your name, your trade and your years of experience","உங்கள் பெயர், தொழில், எத்தனை ஆண்டு அனுபவம் என்று சொல்லுங்கள்",translated,
reels.tip_2,Find good light and a quiet spot — keep it under 30 seconds,நல்ல வெளிச்சமும் அமைதியான இடமும் தேர்வு செய்யுங்கள் — 30 வினாடிக்குள் வைக்கவும்,translated,
reels.tip_3,End with the kind of work you're looking for,நீங்கள் எந்த வேலையைத் தேடுகிறீர்கள் என்று முடிவில் சொல்லுங்கள்,translated,
reels.caption_label,Add a caption (optional),தலைப்பு சேர்க்கவும் (விருப்பத்தேர்வு),translated,
reels.caption_placeholder,"e.g. Electrician, 8 years, available now","எ.கா. எலக்ட்ரீஷியன், 8 ஆண்டுகள், இப்போது கிடைக்கும்",translated,
reels.upload,Upload reel,ரீலைப் பதிவேற்று,translated,
reels.uploading,Uploading…,பதிவேற்றுகிறது…,translated,
reels.retake,Retake,மீண்டும் பதிவு செய்,translated,
reels.saved_note,Your reel is live — employers can see it in Hire Reels.,உங்கள் ரீல் நேரலையில் உள்ளது — முதலாளிகள் ஹயர் ரீல்ஸில் பார்க்கலாம்.,translated,
reels.record_again,Record again,மீண்டும் பதிவு செய்,translated,
reels.remove,Remove reel,ரீலை அகற்று,translated,
reels.removing,Removing…,அகற்றுகிறது…,translated,
reels.record_camera,Record with camera,கேமராவில் பதிவு செய்,translated,
reels.choose_gallery,Choose from gallery,கேலரியில் இருந்து தேர்வு செய்,translated,
reels.capture_failed,Couldn't capture the video. Please try again.,வீடியோவைப் பிடிக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்.,translated,
reels.error_generic,Something went wrong. Please try again.,ஏதோ தவறு நடந்தது. மீண்டும் முயற்சிக்கவும்.,translated,
reels.feed_worker_fallback,Doondo worker,தூண்டோ தொழிலாளர்,translated,
reels.feed_empty_title,No reels yet,இன்னும் ரீல்கள் இல்லை,translated,
reels.feed_empty_body,Worker intro reels will appear here as people record them. Check back soon.,மக்கள் பதிவு செய்யும்போது தொழிலாளர்களின் அறிமுக ரீல்கள் இங்கே தோன்றும். சிறிது நேரத்தில் பாருங்கள்.,translated,
reels.feed_title,Hire Reels,ஹயர் ரீல்ஸ்,translated,
reels.feed_card_title,Discover talent in reels,ரீல்களில் திறமையைக் கண்டறியுங்கள்,translated,
reels.feed_card_subtitle,Swipe through worker intro videos,தொழிலாளர்களின் அறிமுக வீடியோக்களை ஸ்வைப் செய்யுங்கள்,translated,
reels.menu_label,My intro reel,என் அறிமுக ரீல்,translated,
